video_id,video_duration,question_id,question_timestamp,task_type,question,answer
real_sample_9_1,00:01:13,1,00:00:10,Text-Rich Understanding,What card did the opponent just play?,Nine of Spades.
real_sample_9_1,00:01:13,2,00:00:54,Object Perception,What else is on the table besides the playing cards and a black object?,A pair of glasses.
real_sample_9_1,00:01:13,3,00:01:13,Prospective Reasoning,What card will the camera holder most likely play next?,Four of hearts.
real_sample_203_1,00:01:59,1,00:00:27,Counting,How many studs does each green interlocking block placed by the hand have?,Eight.
real_sample_203_1,00:01:59,2,00:01:10,Counting,How many studs does each orange interlocking block placed by the hand have?,Four.
real_sample_203_1,00:01:59,3,00:01:59,Counting,How many studs does each blue interlocking block placed by the hand have?,Twelve.
real_sample_203_2,00:00:19,1,00:00:19,Counting,How many interlocking blocks are positioned in a straight line by the hand?,Four.
real_sample_203_3,00:00:14,1,00:00:14,Attribute Perception,What is the color of the block that the hand is reaching for right now?,Yellow.
real_sample_203_4,00:00:13,1,00:00:13,Event Understanding,What is the sequence of colors of the bricks added to the structure after the blue bricks?,"Green, yellow, orange."
real_sample_4_1,00:02:11,1,00:00:20,Object Perception,What emblem appears at the beginning of the video?,A football club shield / Barcelona.
real_sample_4_1,00:02:11,2,00:01:04,Text-Rich Understanding,What is the current score and which team is leading?,"2-0, the team in blue and red / Barcelona is leading."
real_sample_4_1,00:02:11,3,00:02:11,Event Understanding,What is the updated score after this player scored a goal?,4-0.
real_sample_53_1,00:02:23,1,00:00:22,Action Perception,What is being done with the cutting mat?,Placing the cutting mat into the cutting machine.
real_sample_53_1,00:02:23,2,00:01:25,Action Perception,What are the hands holding now?,The pen and keychain.
real_sample_53_1,00:02:23,3,00:02:23,Action Perception,What did the hands do just now?,Smooth out the acetate window on the paper frame.
real_sample_295_1,00:02:56,1,00:00:11,Text-Rich Understanding,What is the displayed speed of the cyclist right now?,40 km/h.
real_sample_295_1,00:02:56,2,00:00:54,Spatial Understanding,Where are the yellow sign and black arrow right now?,On the left side of the road.
real_sample_295_1,00:02:56,3,00:01:21,Spatial Understanding,Where are the orange traffic cones right now?,To the right of the cyclist.
real_sample_295_1,00:02:56,4,00:02:23,Spatial Understanding,What's on the cyclist's left now?,Fence bordering trees.
real_sample_295_1,00:02:56,5,00:02:56,Spatial Understanding,Where is the cyclist positioned in the lane right now?,On the left side of the lane.
real_sample_295_2,00:00:12,1,00:00:12,Text-Rich Understanding,What is the total length of the cycling race?,57.9 km
real_sample_376_1,00:00:10,1,00:00:10,Clips Summarize,Please summarize all the actions this person just performed.,"The individual retrieved a container with liquid, uncovered it, and began stirring its contents."
real_sample_376_2,00:00:12,1,00:00:12,Clips Summarize,Please summarize all the actions this person just performed.,"The individual placed food on a grill, removed gloves, and discarded them in the trash."
real_sample_376_3,00:00:13,1,00:00:13,Clips Summarize,Please summarize all the actions this person just performed.,The individual retrieved cooked meat from a tray and placed it into a serving container.
real_sample_376_4,00:00:25,1,00:00:25,Clips Summarize,Please summarize all the actions this person just performed.,"The individual placed meat in a container, put cooked chicken in the oven, and then prepared buns."
real_sample_376_5,00:00:09,1,00:00:09,Clips Summarize,Please summarize all the actions this person just performed.,The individual prepared a chicken sandwich by adding BBQ sauce and placing it on a bun with pickled cucumber and onions.
real_sample_232_1,00:04:13,1,00:00:17,Causal Reasoning,Why does the frog appear from the toilet?,Because the chicken that was thrown in was pulled out with the frog.
real_sample_232_1,00:04:13,2,00:01:26,Causal Reasoning,Why does the rabbit dressed in red and white start to become restless?,"Because the fly just disturbed him, he is swatting the fly."
real_sample_232_1,00:04:13,3,00:02:54,Causal Reasoning,Why is this cartoon chicken very shocked now?,Because just now another small cartoon chicken was eaten by a frog.
real_sample_232_1,00:04:13,4,00:04:13,Causal Reasoning,Why is this red rabbit standing in front of the iron gate now?,Because the cartoon character on the iron gate has been whistling just now.
real_sample_122_1,00:02:54,1,00:00:15,Text-Rich Understanding,What text is prominently shown on the packaging of the darker graphics card?,INSPIRED BY GAMERS. BUILT BY NVIDIA.
real_sample_122_1,00:02:54,2,00:01:01,Text-Rich Understanding,"Is ""GTA Five"" listed on the comparison chart shown right now?",No.
real_sample_122_1,00:02:54,3,00:01:36,Text-Rich Understanding,"Is ""Shadow of the Tomb Raider"" listed on the comparison chart?",Yes.
real_sample_122_1,00:02:54,4,00:02:54,Text-Rich Understanding,What is the brand name of the graphics card shown right now?,AMD.
real_sample_153_1,00:02:20,1,00:00:05,Attribute Perception,What is the distinctive feature of the man's face?,A handlebar mustache.
real_sample_153_1,00:02:20,2,00:01:04,Object Perception,What item is located below the painting with the golden frame?,A candelabrum.
real_sample_153_1,00:02:20,3,00:02:20,Attribute Perception,What color is the vest of the man being helped?,Beige.
real_sample_159_1,00:03:05,1,00:00:03,Object Perception,What is the woman wearing?,A white strapless top.
real_sample_159_1,00:03:05,2,00:00:23,Attribute Perception,What is the color of the wall?,Light-colored with pink stripes.
real_sample_159_1,00:03:05,3,00:01:01,Action Perception,What are the helpers doing to the woman in the golden robe?,Adjusting a braided belt.
real_sample_159_1,00:03:05,4,00:02:10,Action Perception,What did the woman in the golden robe just do?,Selecting a bracelet from the wooden box and putting it on her hand.
real_sample_159_1,00:03:05,5,00:03:05,Action Perception,What does the older woman do after appearing behind the young woman?,Adjusts the shawl/veil of the young woman.
real_sample_487_1,00:01:54,1,00:00:20,Event Understanding,What is seen in the initial scene of the video?,A red racing car sped past on the track.
real_sample_487_1,00:01:54,2,00:01:28,Event Understanding,Which color car won first place?,The red car.
real_sample_487_1,00:01:54,3,00:01:54,Text-Rich Understanding,What is the name of the car that won third place?,Floyd Mulvihill.
