video_id,video_duration,question_id,question_timestamp,task_type,question,answer
mem_1_0,00:00:30,1,00:00:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_30,00:01:00,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_30,00:01:00,2,00:01:00,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_60,00:01:30,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_60,00:01:30,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_60,00:01:30,3,00:01:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_90,00:02:00,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_90,00:02:00,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_90,00:02:00,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_90,00:02:00,4,00:02:00,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_120,00:02:30,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_120,00:02:30,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_120,00:02:30,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_120,00:02:30,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_120,00:02:30,5,00:02:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_150,00:03:00,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_150,00:03:00,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_150,00:03:00,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_150,00:03:00,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_150,00:03:00,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_150,00:03:00,6,00:03:00,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_180,00:03:30,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_180,00:03:30,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_180,00:03:30,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_180,00:03:30,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_180,00:03:30,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_180,00:03:30,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_180,00:03:30,7,00:03:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_210,00:04:00,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_210,00:04:00,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_210,00:04:00,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_210,00:04:00,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_210,00:04:00,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_210,00:04:00,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_210,00:04:00,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_210,00:04:00,8,00:04:00,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_240,00:04:30,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_240,00:04:30,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_240,00:04:30,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_240,00:04:30,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_240,00:04:30,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_240,00:04:30,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_240,00:04:30,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_240,00:04:30,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_240,00:04:30,9,00:04:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_270,00:05:00,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_270,00:05:00,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_270,00:05:00,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_270,00:05:00,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_270,00:05:00,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_270,00:05:00,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_270,00:05:00,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_270,00:05:00,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_270,00:05:00,9,00:04:30,Memory,Could you recommend a good book?,
mem_1_270,00:05:00,10,00:05:00,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_300,00:05:30,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_300,00:05:30,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_300,00:05:30,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_300,00:05:30,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_300,00:05:30,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_300,00:05:30,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_300,00:05:30,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_300,00:05:30,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_300,00:05:30,9,00:04:30,Memory,Could you recommend a good book?,
mem_1_300,00:05:30,10,00:05:00,Memory,Could you recommend a pop song?,
mem_1_300,00:05:30,11,00:05:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_330,00:06:00,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_330,00:06:00,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_330,00:06:00,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_330,00:06:00,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_330,00:06:00,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_330,00:06:00,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_330,00:06:00,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_330,00:06:00,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_330,00:06:00,9,00:04:30,Memory,Could you recommend a good book?,
mem_1_330,00:06:00,10,00:05:00,Memory,Could you recommend a pop song?,
mem_1_330,00:06:00,11,00:05:30,Memory,Could you recommend a rock song?,
mem_1_330,00:06:00,12,00:06:00,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_360,00:06:30,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_360,00:06:30,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_360,00:06:30,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_360,00:06:30,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_360,00:06:30,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_360,00:06:30,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_360,00:06:30,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_360,00:06:30,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_360,00:06:30,9,00:04:30,Memory,Could you recommend a good book?,
mem_1_360,00:06:30,10,00:05:00,Memory,Could you recommend a pop song?,
mem_1_360,00:06:30,11,00:05:30,Memory,Could you recommend a rock song?,
mem_1_360,00:06:30,12,00:06:00,Memory,Could you recommend a jazz song?,
mem_1_360,00:06:30,13,00:06:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_390,00:07:00,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_390,00:07:00,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_390,00:07:00,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_390,00:07:00,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_390,00:07:00,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_390,00:07:00,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_390,00:07:00,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_390,00:07:00,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_390,00:07:00,9,00:04:30,Memory,Could you recommend a good book?,
mem_1_390,00:07:00,10,00:05:00,Memory,Could you recommend a pop song?,
mem_1_390,00:07:00,11,00:05:30,Memory,Could you recommend a rock song?,
mem_1_390,00:07:00,12,00:06:00,Memory,Could you recommend a jazz song?,
mem_1_390,00:07:00,13,00:06:30,Memory,What is the capital of France?,
mem_1_390,00:07:00,14,00:07:00,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_420,00:07:30,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_420,00:07:30,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_420,00:07:30,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_420,00:07:30,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_420,00:07:30,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_420,00:07:30,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_420,00:07:30,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_420,00:07:30,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_420,00:07:30,9,00:04:30,Memory,Could you recommend a good book?,
mem_1_420,00:07:30,10,00:05:00,Memory,Could you recommend a pop song?,
mem_1_420,00:07:30,11,00:05:30,Memory,Could you recommend a rock song?,
mem_1_420,00:07:30,12,00:06:00,Memory,Could you recommend a jazz song?,
mem_1_420,00:07:30,13,00:06:30,Memory,What is the capital of France?,
mem_1_420,00:07:30,14,00:07:00,Memory,What is the capital of Japan?,
mem_1_420,00:07:30,15,00:07:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_450,00:08:00,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_450,00:08:00,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_450,00:08:00,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_450,00:08:00,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_450,00:08:00,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_450,00:08:00,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_450,00:08:00,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_450,00:08:00,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_450,00:08:00,9,00:04:30,Memory,Could you recommend a good book?,
mem_1_450,00:08:00,10,00:05:00,Memory,Could you recommend a pop song?,
mem_1_450,00:08:00,11,00:05:30,Memory,Could you recommend a rock song?,
mem_1_450,00:08:00,12,00:06:00,Memory,Could you recommend a jazz song?,
mem_1_450,00:08:00,13,00:06:30,Memory,What is the capital of France?,
mem_1_450,00:08:00,14,00:07:00,Memory,What is the capital of Japan?,
mem_1_450,00:08:00,15,00:07:30,Memory,What is the capital of China?,
mem_1_450,00:08:00,16,00:08:00,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
mem_1_480,00:08:30,1,00:00:30,Memory,Could you tell me a joke?,
mem_1_480,00:08:30,2,00:01:00,Memory,Could you tell me another joke?,
mem_1_480,00:08:30,3,00:01:30,Memory,Could you tell me something about yourself?,
mem_1_480,00:08:30,4,00:02:00,Memory,Could you recommend a comedy movie?,
mem_1_480,00:08:30,5,00:02:30,Memory,Could you recommend a romantic movie?,
mem_1_480,00:08:30,6,00:03:00,Memory,Could you recommend a horror movie?,
mem_1_480,00:08:30,7,00:03:30,Memory,Could you recommend a science fiction movie?,
mem_1_480,00:08:30,8,00:04:00,Memory,Could you recommend an anime movie?,
mem_1_480,00:08:30,9,00:04:30,Memory,Could you recommend a good book?,
mem_1_480,00:08:30,10,00:05:00,Memory,Could you recommend a pop song?,
mem_1_480,00:08:30,11,00:05:30,Memory,Could you recommend a rock song?,
mem_1_480,00:08:30,12,00:06:00,Memory,Could you recommend a jazz song?,
mem_1_480,00:08:30,13,00:06:30,Memory,What is the capital of France?,
mem_1_480,00:08:30,14,00:07:00,Memory,What is the capital of Japan?,
mem_1_480,00:08:30,15,00:07:30,Memory,What is the capital of China?,
mem_1_480,00:08:30,16,00:08:00,Memory,What is the capital of Korea?,
mem_1_480,00:08:30,17,00:08:30,Memory,Do you remember where I was at the beginning before the raptor encounter in Jurassic World?,
